21:16:01     47505164   6078732     11.34     75520   1630240   4987652      9.31   4595056   1024380     72112
21:17:01     47339204   6244692     11.65    118808   1899412   4801080      8.96   4432272   1279996    113664
21:18:01     47096924   6486972     12.11    119340   1941412   4972692      9.28   4669484   1290332      5624
21:19:01     46185056   7398840     13.81    121616   1880696   5864448     10.94   5593848   1278912      4924
21:20:01     45676176   7907720     14.76    121680   1880716   6396424     11.94   6101584   1278884         0
21:21:01     45061188   8522708     15.91    121744   1880744   6936712     12.95   6711576   1278856      4456
21:22:01     45044116   8539780     15.94    121780   1880740   7425340     13.86   6730320   1278864      2416
21:23:01     44394260   9189636     17.15    121868   1881328   7581208     14.15   7378968   1279400      4200
21:24:01     40813720  12770176     23.83    121932   1881152  11466116     21.40  10952744   1279216      5092
21:25:01     41813384  11770512     21.97    303420   1869660  10456936     19.52   9949900   1278424     24040
21:26:01     31912476  21671420     40.44    369144   1898508  20205488     37.71  19793292   1311488      5180
21:27:01     33796856  19787040     36.93    369212   1865464  18279788     34.11  17948828   1279028        72
21:28:01     34925424  18658472     34.82    369288   1865308  18110944     33.80  16821228   1278780       212
21:29:01     28558272  25025624     46.70    369416   1867616  23877288     44.56  23178732   1279744       180
21:30:01     26096568  27487328     51.30    369480   1868104  25724388     48.01  25634028   1279740      4552
21:35:01     48688036   4895856      9.14     31496   1055864   4374200      8.16   3786964    741464      4940
21:36:01     48051916   5531976     10.32     31596   1056192   4944144      9.23   4426224    739180      4556
21:37:01     48260020   5323872      9.94     31680   1056468   4765080      8.89   4216996    737372      5020
21:38:01     47492392   6091500     11.37     31764   1056592   5802420     10.83   4985668    736748       244
21:39:01     47177140   6406752     11.96     31864   1056852   5997468     11.19   5299128    736812       368
21:40:01     46224740   7359152     13.73     31964   1056852   6945020     12.96   6248512    736656      1372
21:41:01     46372804   7211088     13.46     32056   1056884   6674096     12.46   6098552    736672      1496
21:42:01     40839232  12744660     23.78     32148   1057096  12206908     22.78  11622120    736820      1744
21:43:01     42505516  11078376     20.67     32264   1056908  10975336     20.48   9962088    736624      4076
21:44:01     38070856  15513036     28.95     32364   1058056  15166392     28.30  14386512    737704         4
21:45:02     35323112  18260780     34.08     32424   1058060  18091724     33.76  17127160    737716      5376
21:46:01     37376468  16207424     30.25     32484   1058128  16363840     30.54  15080320    737756      5388
21:47:01     36399048  17184844     32.07     32560   1058076  17127916     31.96  16053692    737704      4944
21:48:01     28993744  24590148     45.89     32828   1059776  24044192     44.87  23445400    739368      5224
21:49:01     28829956  24753936     46.20     33164   1059868  24676992     46.05  23606276    739412      2180
21:50:01     32051008  21532884     40.19     33232   1059852  21203444     39.57  20392984    739420       316
21:51:01     31307880  22276012     41.57     33320   1059780  23127564     43.16  21134180    739348       128
21:52:01     30976128  22607764     42.19     33416   1059844  22275176     41.57  21464868    739380       204
21:53:01     28462448  25121444     46.88     33492   1059860  24672764     46.05  23972312    739352      5468
21:54:01     27250056  26333836     49.15     33580   1059892  25783900     48.12  25182500    739392      5104
21:55:01     27126100  26457792     49.38     33664   1059840  25923612     48.38  25306336    739324      5240
21:56:01     26856288  26727604     49.88     33756   1059844  26290432     49.06  25576900    739324      4732
21:57:01     27672168  25911724     48.36     33848   1059860  25414564     47.43  24763492    739324      5084
21:58:01     24375264  29208628     54.51     33928   1059860  29223476     54.54  28055880    739328      4804
21:59:01     26234692  27349200     51.04     34024   1059900  26815648     50.04  26199872    739336      5336
22:00:01     26031872  27552020     51.42     34116   1059908  27015052     50.42  26399364    739332      4892
22:01:01     25825732  27758160     51.80     34200   1059968  27274968     50.90  26604308    739364      5660
22:02:01     26272080  27311812     50.97     34280   1059928  26759348     49.94  26161592    739336      4700
22:03:01     25238488  28345404     52.90     34376   1060556  27807388     51.90  27194880    738464       148
22:04:01     26612396  26971496     50.34     34468   1060560  26398004     49.26  25824928    738416       176
22:05:01     26605248  26978644     50.35     34552   1060584  26469036     49.40  25830920    738276      5356
