08:50:01            9       251      5.39      1.71      0.62         0
08:51:01            9       257      8.11      3.19      1.20         0
08:52:01            9       262      8.95      4.33      1.71         0
08:53:01            9       254      8.83      5.13      2.16         0
08:54:01            8       235      8.44      5.71      2.55         1
08:55:01            8       238      8.23      6.16      2.90         0
08:56:01            8       236      8.22      6.54      3.24         0
08:57:01            8       237      8.27      6.86      3.55         0
08:58:01            9       246      8.25      7.10      3.85         0
08:59:01            8       241      8.09      7.27      4.11         0
09:00:01            8       239      8.24      7.48      4.38         0
09:01:01            8       239      8.19      7.60      4.62         0
09:02:01            8       240      8.27      7.73      4.85         0
09:03:01            9       244      8.25      7.81      5.04         0
09:04:01            8       242      8.33      7.94      5.27         0
09:05:01            8       242      8.35      8.03      5.47         0
09:06:01            8       242      8.26      8.06      5.64         0
09:07:01            9       252      8.29      8.09      5.81         0
09:08:01            8       245      8.17      8.10      5.96         0
09:09:01            8       242      8.31      8.16      6.11         0
09:10:01            8       243      8.30      8.19      6.25         0
09:11:01            8       241      8.46      8.23      6.39         0
09:12:01            9       246      8.20      8.20      6.50         0
09:13:01            8       242      8.18      8.21      6.61         0
09:14:01            8       240      8.29      8.23      6.72         0
09:15:01            8       241      8.45      8.27      6.83         0
09:16:01            9       248      8.20      8.23      6.91         0
09:17:01            8       244      8.22      8.24      7.01         1
